hum,tgt
EIF2B1,Eif2b1
EIF2S3,Eif2s3
EPHA2,Epha2
EIF4A1,Eif4a1
EIF4A2,Eif4a2
EIF4B,Eif4b
EIF4E,Eif4e
EIF4EBP1,Eif4ebp1
EIF4EBP2,Eif4ebp2
EIF4G1,Eif4g1
EIF4G2,Eif4g2
EIF5,Eif5
EIF5A,Eif5a
CELA1,Cela1
ELANE,Elane
ELAVL2,Elavl2
ELAVL1,Elavl1
ELAVL3,Elavl3
ELAVL4,Elavl4
ELF1,Elf1
ELF2,Elf2
ELF3,Elf3
ELF4,Elf4
ELF5,Elf5
ELK1,Elk1
ELK3,Elk3
ELK4,Elk4
ELN,Eln
EML1,Eml1
EMD,Emd
MARK2,Mark2
EMP1,Emp1
EMP2,Emp2
EMP3,Emp3
ADGRE1,Adgre1
EMX1,Emx1
CTTN,Cttn
EMX2,Emx2
EN1,En1
EN2,En2
ENDOG,Endog
ENG,Eng
ENO1,Eno1
ENO2,Eno2
ENO3,Eno3
ENPEP,Enpep
ENSA,Ensa
SLC29A1,Slc29a1
EP300,Ep300
EPAS1,Epas1
EPB41,Epb41
EPB41L1,Epb41l1
EPB41L2,Epb41l2
EPB42,Epb42
DMTN,Dmtn
STOM,Stom
EPHA1,Epha1
EPHA3,Epha3
EPHA4,Epha4
EPHA5,Epha5
EPHA7,Epha7
EPHA8,Epha8
EPHB1,Ephb1
EPHB2,Ephb2
EPHB3,Ephb3
EPHB4,Ephb4
EPHB6,Ephb6
EPHX1,Ephx1
EPHX2,Ephx2
STX2,Stx2
CLN8,Cln8
EPO,Epo
EPOR,Epor
EPRS1,Eprs1
EPS8,Eps8
EPS15,Eps15
NR2F6,Nr2f6
ERBB2,Erbb2
ERBB3,Erbb3
ERBB4,Erbb4
ERCC1,Ercc1
ERCC2,Ercc2
EREG,Ereg
EYA4,Eya4
ERCC3,Ercc3
ERCC4,Ercc4
ERCC5,Ercc5
ERCC6,Ercc6
ERF,Erf
ERG,Erg
ERH,Erh
ERN1,Ern1
FBL,Fbl
ESD,Esd
ESR1,Esr1
ESR2,Esr2
ESRRA,Esrra
ESRRB,Esrrb
ESRRG,Esrrg
ETF1,Etf1
ETFA,Etfa
ETFB,Etfb
ETFDH,Etfdh
ETS1,Ets1
ETS2,Ets2
ETV1,Etv1
ETV2,Etv2
ETV3,Etv3
ETV4,Etv4
ETV5,Etv5
ETV6,Etv6
EVC,Evc
MECOM,Mecom
EVI2A,Evi2a
EVI2B,Evi2b
EVPL,Evpl
EVX1,Evx1
EWSR1,Ewsr1
EXT1,Ext1
EXT2,Ext2
EXTL1,Extl1
EXTL2,Extl2
EXTL3,Extl3
EYA1,Eya1
EYA2,Eya2
EYA3,Eya3
EZH1,Ezh1
EZH2,Ezh2
F2,F2
F2R,F2r
F2RL1,F2rl1
F2RL2,F2rl2
F3,F3
F5,F5
F7,F7
F8,F8
F9,F9
F10,F10
F11,F11
F12,F12
F13A1,F13a1
F13B,F13b
FAAH,Faah
FABP4,Fabp4
FABP1,Fabp1
FABP2,Fabp2
FABP3,Fabp3
FABP5,Fabp5
FABP6,Fabp6
FABP7,Fabp7
FANCA,Fanca
FANCC,Fancc
FANCD2,Fancd2
FANCE,Fance
ACSL1,Acsl1
ACSL3,Acsl3
ACSL4,Acsl4
FAH,Fah
PTK2B,Ptk2b
BPTF,Bptf
FANCB,Fancb
FANCF,Fancf
FANCG,Fancg
FAP,Fap
FBLN1,Fbln1
FARSA,Farsa
FASN,Fasn
FAT1,Fat1
FAT2,Fat2
FAU,Fau
FBLN2,Fbln2
FBN1,Fbn1
FBN2,Fbn2
EFEMP1,Efemp1
FBP1,Fbp1
FCAR,Fcar
FCER1A,Fcer1a
MS4A2,Ms4a2
FCER1G,Fcer1g
FCER2,Fcer2
FCGR1A,Fcgr1a
FCGR2B,Fcgr2b
FCGRT,Fcgrt
FKTN,Fktn
FCN1,Fcnb
FDFT1,Fdft1
FDPS,Fdps
FDX1,Fdx1
FDXR,Fdxr
FECH,Fech
FEN1,Fen1
GPC4,Gpc4
FER,Fer
FES,Fes
FGA,Fga
FGB,Fgb
FGD1,Fgd1
FGF1,Fgf1
FGF2,Fgf2
FGF3,Fgf3
FGF4,Fgf4
FGF5,Fgf5
FGF6,Fgf6
FGF7,Fgf7
FGF8,Fgf8
FGF9,Fgf9
FGF10,Fgf10
FGF11,Fgf11
FGF12,Fgf12
FGF13,Fgf13
FGF14,Fgf14
FGFR1,Fgfr1
FGFR3,Fgfr3
GPC5,Gpc5
FGFR2,Fgfr2
FGFR4,Fgfr4
FGG,Fgg
FGL1,Fgl1
FGR,Fgr
FH,Fh
FHIT,Fhit
FHL1,Fhl1
FHL2,Fhl2
FHL3,Fhl3
VEGFD,Vegfd
FKBP1A,Fkbp1a
FKBP1B,Fkbp1b
FKBP2,Fkbp2
FKBP3,Fkbp3
FKBP4,Fkbp4
FKBP5,Fkbp5
FOXG1,Foxg1
FOXF1,Foxf1
FOXF2,Foxf2
FOXC1,Foxc1
FOXD1,Foxd1
FOXD4,Foxd4
FOXI1,Foxi1
FOXL1,Foxl1
FOXE3,Foxe3
FOXJ1,Foxj1
FOXC2,Foxc2
FOXE1,Foxe1
FOXM1,Foxm1
FOXD2,Foxd2
FOXS1,Foxs1
FOXO1,Foxo1
FOXO3,Foxo3
FLG,Flg
FLI1,Fli1
FLII,Flii
MLANA,Mlana
FLNA,Flna
FLNB,Flnb
FLNC,Flnc
FLOT2,Flot2
FLT1,Flt1
FLT3,Flt3
FLT3LG,Flt3lg
FLT4,Flt4
FMO1,Fmo1
FMO2,Fmo2
FMO5,Fmo5
FMOD,Fmod
FMR1,Fmr1
AFF2,Aff2
FN1,Fn1
FNTA,Fnta
FNTB,Fntb
FOLH1,Folh1
FOLR1,Folr1
FOLR2,Folr2
FOS,Fos
FOSB,Fosb
FOSL2,Fosl2
FPGS,Fpgs
FPR1,Fpr1
FXN,Fxn
FRK,Frk
MTOR,Mtor
FRZB,Frzb
FSHB,Fshb
CENPI,Cenpi
FSHR,Fshr
NR5A2,Nr5a2
FTH1,Fth1
FTL,Ftl1
ADAM2,Adam2
NR5A1,Nr5a1
FUCA1,Fuca1
FUCA2,Fuca2
GAST,Gast
FUS,Fus
FUT1,Fut1
FUT2,Fut2
FUT4,Fut4
FUT7,Fut7
FUT8,Fut8
KDSR,Kdsr
ACKR1,Ackr1
FYB1,Fyb1
FYN,Fyn
FZD2,Fzd2
G6PC1,G6pc1
G6PD,G6pd
SLC37A4,Slc37a4
XRCC6,Xrcc6
GAA,Gaa
GAB1,Gab1
GABBR1,Gabbr1
GABPA,Gabpa
GABPB1,Gabpb1
GABRA1,Gabra1
GABRA2,Gabra2
GABRA3,Gabra3
GABRA4,Gabra4
GABRA5,Gabra5
GABRA6,Gabra6
GABRB1,Gabrb1
GABRB2,Gabrb2
GABRB3,Gabrb3
GABRD,Gabrd
GABRE,Gabre
GABRG1,Gabrg1
GABRG2,Gabrg2
GABRG3,Gabrg3
GABRP,Gabrp
GABRR1,Gabrr1
GABRR2,Gabrr2
GAD1,Gad1
GAD2,Gad2
GAK,Gak
GALC,Galc
GALE,Gale
B4GALNT1,B4galnt1
GALK1,Galk1
GALK2,Galk2
GALR1,Galr1
GALNS,Galns
GALNT1,Galnt1
GALNT2,Galnt2
GALNT3,Galnt3
GALT,Galt
GAMT,Gamt
GANC,Ganc
GAP43,Gap43
GAPDH,Gapdh
LRRC32,Lrrc32
GARS1,Gars1
GART,Gart
GAS1,Gas1
GAS2,Gas2
GAS6,Gas6
GAS8,Gas8
GATA1,Gata1
GATA2,Gata2
GATA3,Gata3
GATA4,Gata4
GATA6,Gata6
GATM,Gatm
GBA1,Gba1
NIPSNAP2,Nipsnap2
GBE1,Gbe1
GBP1,Gbp1-ps1
GBP2,Gbp2
GBX1,Gbx1
GBX2,Gbx2
GC,Gc
GCDH,Gcdh
GCG,Gcg
GCGR,Gcgr
GCH1,Gch1
GCHFR,Gchfr
GCK,Gck
GCKR,Gckr
BLOC1S1,Bloc1s1
KAT2A,Kat2a
NR6A1,Nr6a1
GCNT1,Gcnt1
GCNT2,Gcnt2
OPN1MW,Opn1mw
GCSH,Gcsh
GDF1,Gdf1
GDF2,Gdf2
MSTN,Mstn
GDF9,Gdf9
GDF10,Gdf10
GDI1,Gdi1
GDI2,Gdi2
GDNF,Gdnf
GEM,Gem
GFAP,Gfap
GFER,Gfer
GFI1,Gfi1
GFPT1,Gfpt1
GFRA1,Gfra1
GFRA2,Gfra2
GFRA3,Gfra3
GGCX,Ggcx
GGT1,Ggt1
GGTA1,Ggta1
B4GALT1,B4galt1
GGT7,Ggt7
GGT5,Ggt5
GH1,Gh1
GHR,Ghr
GHRH,Ghrh
GHRHR,Ghrhr
GHSR,Ghsr
CBLIF,Cblif
GIP,Gip
GIPR,Gipr
GJA1,Gja1
GJA3,Gja3
GJA4,Gja4
GJA5,Gja5
GJA8,Gja8
GJB1,Gjb1
GJB2,Gjb2
GJB3,Gjb3
GJB5,Gjb5
GK,Gk
GK2,Gk2
GLA,Gla
GPC3,Gpc3
GLB1,Glb1
GCLC,Gclc
GCLM,Gclm
GLDC,Gldc
GLE1,Gle1
GLG1,Glg1
GLI1,Gli1
GLI2,Gli2
GLI3,Gli3
GLI4,Gli4
GLO1,Glo1
GLP1R,Glp1r
GLRA1,Glra1
GLRA2,Glra2
GLRB,Glrb
GLS,Gls
GLRX,Glrx
GLUD1,Glud1
GLUL,Glul
GM2A,Gm2a
GMDS,Gmds
GMFB,Gmfb
GML,Gml
GMPR,Gmpr
GNA11,Gna11
GNA12,Gna12
GNA15,Gna15
GNAI1,Gnai1
GNAI2,Gnai2
GNAI3,Gnai3
GNAL,Gnal
GNAO1,Gnao1
GNAQ,Gnaq
GNAS,Gnas
GNAT1,Gnat1
GNAT2,Gnat2
GNAZ,Gnaz
GNB1,Gnb1
GNB2,Gnb2
GNB3,Gnb3
GNG3,Gng3
GNG4,Gng4
GNG5,Gng5
GNG7,Gng7
GNG10,Gng10
GNG11,Gng11
GNGT1,Gngt1
GNGT2,Gngt2
GNL1,Gnl1
GNRH1,Gnrh1
GNRHR,Gnrhr
GNS,Gns
GOLGA1,Golga1
GOLGA2,Golga2
GOLGA3,Golga3
GOLGA4,Golga4
GOLGB1,Golgb1
GOT1,Got1
GOT2,Got2
SFN,Sfn
GP1BA,Gp1ba
GP1BB,Gp1bb
GP2,Gp2
GP5,Gp5
GP9,Gp9
GPC1,Gpc1
GPD1,Gpd1
GPD2,Gpd2
GPI,Gpi
GPLD1,Gpld1
GPM6A,Gpm6a
GPM6B,Gpm6b
CMKLR2,Cmklr2
CCR10,Ccr10
GPR3,Gpr3
GPR4,Gpr4
XCR1,Xcr1
GPR6,Gpr6
NPBWR1,Npbwr1
CXCR3,Cxcr3
PRLHR,Prlhr
GPR12,Gpr12
UTS2R,Uts2r
GPR15,Gpr15
GPR17,Gpr17
GPR18,Gpr18
GPR19,Gpr19
GPR20,Gpr20
GPR21,Gpr21
GPR22,Gpr22
LPAR4,Lpar4
MCHR1,Mchr1
GPR25,Gpr25
GPR26,Gpr26
GPR27,Gpr27
GPER1,Gper1
GPR31,Gpr31
GPR32,Gpr32
GPR34,Gpr34
GPR35,Gpr35
GPR37,Gpr37
GPR39,Gpr39
FFAR1,Ffar1
FFAR3,Ffar3
FFAR2,Ffar2
GRK4,Grk4
GRK5,Grk5
GRK6,Grk6
MKNK2,Mknk2
GPS1,Gps1
GPS2,Gps2
GPT,Gpt
GPX1,Gpx1
GPX2,Gpx2
GPX3,Gpx3
GPX4,Gpx4
GPX5,Gpx5
GPX7,Gpx7
GRB2,Grb2
GRB7,Grb7
GRB10,Grb10
GRB14,Grb14
RAPGEF1,Rapgef1
GRIA1,Gria1
GRIA2,Gria2
GRIA3,Gria3
GRIA4,Gria4
GRID1,Grid1
GRID2,Grid2
GRN,Grn
GRIK1,Grik1
GRIK2,Grik2
GRIK3,Grik3
GRIK4,Grik4
GRIK5,Grik5
GRIN1,Grin1
GRIN2A,Grin2a
GRIN2B,Grin2b
GRIN2C,Grin2c
GRIN2D,Grin2d
GRINA,Grina
NR3C1,Nr3c1
ARHGAP35,Arhgap35
GRM1,Grm1
GRM2,Grm2
GRM3,Grm3
GRM4,Grm4
GRM5,Grm5
GRM6,Grm6
GRM7,Grm7
GRM8,Grm8
GRP,Grp
PDIA3,Pdia3
GRPR,Grpr
GRSF1,Grsf1
GSC2,Gsc2
GSK3A,Gsk3a
GSK3B,Gsk3b
GSN,Gsn
GSPT1,Gspt1
GSR,Gsr
GSS,Gss
GSTM3,Gstm5
GSTM4,Gstm4
GSTP1,Gstp1
GSTT1,Gstt1
GSTZ1,Gstz1
MSH6,Msh6
GTF2A1,Gtf2a1
GTF2A2,Gtf2a2
GTF2B,Gtf2b
GTF2E1,Gtf2e1
GTF2E2,Gtf2e2
GTF2F1,Gtf2f1
GTF2F2,Gtf2f2
GTF2H1,Gtf2h1
GTF2H2,Gtf2h2
GTF2H3,Gtf2h3
GTF2H4,Gtf2h4
GTF2I,Gtf2i
GTF3A,Gtf3a
BRF1,Brf1
GTF3C1,Gtf3c1
GTF3C2,Gtf3c2
GUCY1A2,Gucy1a2
GUCA1A,Guca1a
GUCA1B,Guca1b
GUCA2A,Guca2a
GUCA2B,Guca2b
GUCY1A1,Gucy1a1
GUCY1B1,Gucy1b1
GUCY2C,Gucy2c
GUCY2F,Gucy2f
GUK1,Guk1
GUSB,Gusb
GYG1,Gyg1
GYPA,Gypa
GYPC,Gypc
GYS1,Gys1
GYS2,Gys2
GUCY2D,Gucy2d
GZMA,Gzma
GZMK,Gzmk
GZMM,Gzmm
H1-0,H1f0
H1-2,H1f2
H1-4,H1f4
H1-5,H1f5
H1-6,H1f6
H2AX,H2ax
H2AZ1,H2az1
H3-3A,H3f3a
H3-3B,H3f3b
H1-1,H1f1
HABP2,Habp2
HSD17B10,Hsd17b10
HAGH,Hagh
HADHA,Hadha
HADHB,Hadhb
HADH,Hadh
HAL,Hal
HARS1,Hars1
HAS1,Has1
HAS2,Has2
HAS3,Has3
HBB,Hbb
HBZ,Hbz
HCCS,Hccs
SERPIND1,Serpind1
HCFC1,Hcfc1
HCK,Hck
HCLS1,Hcls1
HCRT,Hcrt
HCRTR1,Hcrtr1
HCRTR2,Hcrtr2
HTT,Htt
HDAC1,Hdac1
HDAC2,Hdac2
HDC,Hdc
HDGF,Hdgf
HDLBP,Hdlbp
HELLS,Hells
NCKAP1L,Nckap1l
HEXA,Hexa
HEXB,Hexb
HFE,Hfe
HGD,Hgd
HGF,Hgf
HGFAC,Hgfac
NRG1,Nrg1
HHEX,Hhex
HIC1,Hic1
HIF1A,Hif1a
HIP1,Hip1
UBE2K,Ube2k
HINT1,Hint1
HIVEP1,Hivep1
HIVEP2,Hivep2
HK1,Hk1
HK2,Hk2
HK3,Hk3
ZBTB48,Zbtb48
HLA-DMA,RT1-DMa
HLA-DMB,RT1-DMb
MNX1,Mnx1
HLA-DOA,RT1-DOa
HLA-DOB,RT1-DOb
HLA-DPA1,RT1-Ha
HLA-DRA,RT1-Da
HLF,Hlf
MR1,Mr1
HLCS,Hlcs
HLX,Hlx
HMBS,Hmbs
HMGB1,Hmgb1
HMGB2,Hmgb2
HMGB3,Hmgb3
HMGN1,Hmgn1
HMGN2,Hmgn2
HMGCL,Hmgcl
HMGCR,Hmgcr
HMGCS1,Hmgcs1
HMGCS2,Hmgcs2
HMGA1,Hmga1
HMMR,Hmmr
HMOX1,Hmox1
HMOX2,Hmox2
NR4A1,Nr4a1
HMX1,Hmx1
HMX2,Hmx2
FOXA1,Foxa1
FOXA2,Foxa2
FOXA3,Foxa3
HNF4A,Hnf4a
HNF4G,Hnf4g
ONECUT1,Onecut1
HNMT,Hnmt
SLC29A2,Slc29a2
HNRNPA1,Hnrnpa1
HNRNPA2B1,Hnrnpa2b1
HNRNPAB,Hnrnpab
HNRNPC,Hnrnpc
HNRNPD,Hnrnpd
HNRNPF,Hnrnpf
HNRNPH1,Hnrnph1
HNRNPH2,Hnrnph2
HNRNPH3,Hnrnph3
HNRNPK,Hnrnpk
HNRNPL,Hnrnpl
HNRNPU,Hnrnpu
TLX1,Tlx1
TLX2,Tlx2
HOXA1,Hoxa1
HOXA2,Hoxa2
HOXA3,Hoxa3
HOXA4,Hoxa4
HOXA5,Hoxa5
HOXA6,Hoxa6
HOXA7,Hoxa7
HOXA9,Hoxa9
HOXA10,Hoxa10
HOXA11,Hoxa11
HPCA,Hpca
HOXA13,Hoxa13
HOXB1,Hoxb1
HOXB2,Hoxb2
HOXB3,Hoxb3
HOXB4,Hoxb4
HOXB5,Hoxb5
HOXB6,Hoxb6
HOXB7,Hoxb7
HOXB8,Hoxb8
HOXB9,Hoxb9
HOXC5,Hoxc5
HOXC8,Hoxc8
HOXC9,Hoxc9
HOXC10,Hoxc10
HOXC11,Hoxc11
HOXC12,Hoxc12
HOXC13,Hoxc13
HOXD1,Hoxd1
HOXD3,Hoxd3
HOXD4,Hoxd4
HOXD8,Hoxd8
HOXD9,Hoxd9
HOXD10,Hoxd10
HOXD11,Hoxd11
HOXD12,Hoxd12
HOXD13,Hoxd13
HP,Hp
HPCAL1,Hpcal1
HPD,Hpd
HPGD,Hpgd
HPN,Hpn
HPRT1,Hprt1
HPS1,Hps1
HPX,Hpx
HRAS,Hras
ERAS,Eras
AGFG1,Agfg1
AGFG2,Agfg2
HRH1,Hrh1
HRC,Hrc
HRG,Hrg
HRH2,Hrh2
PRMT2,Prmt2
PRMT1,Prmt1
HES1,Hes1
HSBP1,Hsbp1
HSD11B1,Hsd11b1
HSD11B2,Hsd11b2
HSD17B1,Hsd17b1
HSD17B3,Hsd17b3
HSD17B2,Hsd17b2
HSD17B4,Hsd17b4
HSF1,Hsf1
HSF2,Hsf2
HSF4,Hsf4
DNAJB2,Dnajb2
DNAJA1,Dnaja1
HSPA1L,Hspa1l
HSPA2,Hspa2
HSPA4,Hspa4
HSPA5,Hspa5
HSPA8,Hspa8
HSPA9,Hspa9
HSPB1,Hspb1
HSPB2,Hspb2
HSP90AA1,Hsp90aa1
IGSF3,Igsf3
HSP90AB1,Hsp90ab1
HSPD1,Hspd1
HSPE1,Hspe1
DNAJB1,Dnajb1
DNAJC4,Dnajc4
HSPG2,Hspg2
NDST1,Ndst1
FOXN2,Foxn2
HTR1A,Htr1a
HTR1B,Htr1b
HTR1D,Htr1d
HTR1F,Htr1f
HTR2A,Htr2a
HTR2B,Htr2b
HTR2C,Htr2c
HTR3A,Htr3a
HTR4,Htr4
HTR5A,Htr5a
HTR6,Htr6
HTR7,Htr7
HUS1,Hus1
TNC,Tnc
HYAL1,Hyal1
IAPP,Iapp
IARS1,Iars1
IBSP,Ibsp
ICA1,Ica1
ICAM1,Icam1
ICAM2,Icam2
ICAM4,Icam4
IRF8,Irf8
MRPL58,Mrpl58
ID1,Id1
ID2,Id2
ID3,Id3
ID4,Id4
IDE,Ide
IDH1,Idh1
IDH2,Idh2
IDH3A,Idh3a
IDH3B,Idh3b
IDH3G,Idh3g
IDI1,Idi1
IDS,Ids
IDUA,Idua
CFI,Cfi
IFI27,Ifi27
IFI35,Ifi35
SP110,Sp110
IFIT2,Ifit2
IFIT3,Ifit3
IFNAR1,Ifnar1
IFNAR2,Ifnar2
IFNB1,Ifnb1
IFNG,Ifng
IFNGR1,Ifngr1
IFNGR2,Ifngr2
IFRD1,Ifrd1
IGBP1,Igbp1
IGF1,Igf1
IGF1R,Igf1r
IGF2,Igf2
IGF2R,Igf2r
IGFALS,Igfals
IGFBP1,Igfbp1
IGFBP2,Igfbp2
IGFBP3,Igfbp3
IGFBP4,Igfbp4
IGFBP5,Igfbp5
IGFBP6,Igfbp6
IGFBP7,Igfbp7
CCN1,Ccn1
IGHMBP2,Ighmbp2
JCHAIN,Jchain
RBPJ,Rbpj
IGSF1,Igsf1
IHH,Ihh
IK,Ik
IKBKB,Ikbkb
IL1A,Il1a
IL1B,Il1b
IL1R1,Il1r1
IL1RAP,Il1rap
IL1RN,Il1rn
IL2,Il2
IL2RA,Il2ra
IL2RB,Il2rb
IL2RG,Il2rg
IL3,Il3
IL3RA,Il3ra
IL4,Il4
IL4R,Il4r
IL5,Il5
IL5RA,Il5ra
IL6,Il6
IL6R,Il6r
IL6ST,Il6st
IL7,Il7
IL7R,Il7r
IL9,Il9
CXCR2,Cxcr2
IL9R,Il9r
IL10,Il10
IL10RA,Il10ra
IL10RB,Il10rb
IL11,Il11
IL11RA,Il11ra1
IL12A,Il12a
IL12B,Il12b
IL12RB1,Il12rb1
IL12RB2,Il12rb2
IL13,Il13
IL13RA1,Il13ra1
IL13RA2,Il13ra2
IL15,Il15
IL15RA,Il15ra
IL16,Il16
TNFRSF9,Tnfrsf9
IL17A,Il17a
IL18,Il18
FOXK2,Foxk2
ILF2,Ilf2
ILF3,Ilf3
ILK,Ilk
IMPA1,Impa1
IMPA2,Impa2
IMPDH1,Impdh1
IMPDH2,Impdh2
IMPG1,Impg1
INCENP,Incenp
IDO1,Ido1
ING1,Ing1
ING2,Ing2
INHA,Inha
INHBA,Inhba
INHBB,Inhbb
INHBC,Inhbc
CXCL10,Cxcl10
INPP1,Inpp1
INS,Ins2
INPP4A,Inpp4a
INPP5A,Inpp5a
INPP5B,Inpp5b
INPP5D,Inpp5d
INPPL1,Inppl1
INSIG1,Insig1
INSL3,Insl3
INSM1,Insm1
INSR,Insr
INSRR,Insrr
EIF3E,Eif3e
PDX1,Pdx1
IPP,Ipp
IRAK1,Irak1
ITGA6,Itga6
IRAK2,Irak2
IREB2,Ireb2
IRF1,Irf1
IRF2,Irf2
IRF3,Irf3
IRF4,Irf4
IRF5,Irf5
IRF6,Irf6
IRF7,Irf7
IRS1,Irs1
ISG20,Isg20
ISL1,Isl1
ISLR,Islr
ITGA1,Itga1
ITGA2,Itga2
ITGA2B,Itga2b
ITGA3,Itga3
ITGA4,Itga4
ITGA5,Itga5
ITGA7,Itga7
ITGA9,Itga9
ITGAD,Itgad
ITGAE,Itgae
ITGAL,Itgal
ITGAM,Itgam
ITGAV,Itgav
ITGAX,Itgax
ITGB1,Itgb1
ITGB2,Itgb2
ITGB3,Itgb3
ITGB4,Itgb4
EIF6,Eif6
ITGB5,Itgb5
ITGB6,Itgb6
ITGB7,Itgb7
ITGB8,Itgb8
ITIH1,Itih1
ITIH2,Itih2
ITIH3,Itih3
ITIH4,Itih4
ITK,Itk
STT3A,Stt3a
ITPA,Itpa
ITPK1,Itpk1
ITPKA,Itpka
ITPKB,Itpkb
ITPR1,Itpr1
ITPR2,Itpr2
ITPR3,Itpr3
IVD,Ivd
IVL,Ivl
JAG2,Jag2
JAK1,Jak1
JAK2,Jak2
JAK3,Jak3
JARID2,Jarid2
JUN,Jun
JUNB,Junb
JUND,Jund
JUP,Jup
CD82,Cd82
KARS1,Kars1
KCNA1,Kcna1
KCNA2,Kcna2
KCNA3,Kcna3
KCNA4,Kcna4
KCNA5,Kcna5
KCNA6,Kcna6
KCNA7,Kcna7
KCNA10,Kcna10
KCNB1,Kcnb1
KCNC1,Kcnc1
KCNC2,Kcnc2
KCNC3,Kcnc3
KCNC4,Kcnc4
KCND1,Kcnd1
KCND2,Kcnd2
KCND3,Kcnd3
KCNE1,Kcne1
KCNF1,Kcnf1
KCNG1,Kcng1
KCNH1,Kcnh1
KCNH2,Kcnh2
KCNJ1,Kcnj1
KCNJ2,Kcnj2
KCNJ3,Kcnj3
KCNJ4,Kcnj4
KCNJ5,Kcnj5
KCNJ6,Kcnj6
KCNJ8,Kcnj8
KCNJ9,Kcnj9
KCNJ10,Kcnj10
KCNJ11,Kcnj11
KCNJ12,Kcnj12
KCNJ13,Kcnj13
KCNJ14,Kcnj14
KCNJ15,Kcnj15
KCNJ16,Kcnj16
KCNK1,Kcnk1
KCNK2,Kcnk2
KCNK3,Kcnk3
KCNMA1,Kcnma1
KCNMB1,Kcnmb1
KCNN1,Kcnn1
KCNN2,Kcnn2
KCNN3,Kcnn3
KCNN4,Kcnn4
KCNQ1,Kcnq1
KCNQ2,Kcnq2
KCNQ3,Kcnq3
KCNS1,Kcns1
KCNS2,Kcns2
KCNS3,Kcns3
KDR,Kdr
KEL,Kel
KHK,Khk
KIF2A,Kif2a
KIF3C,Kif3c
KIF5A,Kif5a
KIF5B,Kif5b
KIF5C,Kif5c
KIFC3,Kifc3
KISS1,Kiss1
KIT,Kit
KLK1,Klk1
KLKB1,Klkb1
KLRB1,Klrb1
KLRC1,Klrc1
KLRC2,Klri1
KLRD1,Klrd1
KNG1,Kng1
KLC1,Klc1
KIF11,Kif11
KIFC1,Kifc1
KIF22,Kif22
KPNA1,Kpna1
KPNB1,Kpnb1
KPNA2,Kpna2
KPNA3,Kpna3
KPNA4,Kpna4
KPNA5,Kpna5
TNPO1,Tnpo1
IPO5,Ipo5
KRAS,Kras
KRT1,Krt1
KRT2,Krt2
KRT4,Krt4
KRT7,Krt7
KRT8,Krt8
KRT9,Krt9
KRT10,Krt10
KRT12,Krt12
KRT13,Krt13
KRT15,Krt15
KRT16,Krt16
KRT17,Krt17
KRT18,Krt18
KRT19,Krt19
KRT32,Krt32
KRT34,Krt34
KRT35,Krt35
KRT82,Krt82
KRT84,Krt84
KTN1,Ktn1
L1CAM,L1cam
LAD1,Lad1
AFF3,Aff3
LAG3,Lag3
LALBA,Lalba
LAMA2,Lama2
LAMA3,Lama3
LAMA4,Lama4
LAMA5,Lama5
LAMB1,Lamb1
LAMB2,Lamb2
LAMB3,Lamb3
LAMC1,Lamc1
LAMP1,Lamp1
LAMC2,Lamc2
LAMP2,Lamp2
RPSA,Rpsa
STMN1,Stmn1
LASP1,Lasp1
LBP,Lbp
LBR,Lbr
LCAT,Lcat
LCK,Lck
LCN2,Lcn2
LCP1,Lcp1
LCP2,Lcp2
LCT,Lct
LDHA,Ldha
LDHB,Ldhb
LDHC,Ldhc
LDLR,Ldlr
LECT2,Lect2
LEP,Lep
LEPR,Lepr
LETM1,Letm1
LFNG,Lfng
LGALS1,Lgals1
LGALS2,Lgals2
LGALS3,Lgals3
LGALS3BP,Lgals3bp
LGALS4,Lgals4
LGALS7,Lgals7
LGALS8,Lgals8
LGALS9,Lgals9
LHB,Lhb
LHCGR,Lhcgr
LHX1,Lhx1
LIF,Lif
LIFR,Lifr
LIG1,Lig1
LIG3,Lig3
LIG4,Lig4
LIM2,Lim2
ABLIM1,Ablim1
LIMK1,Limk1
LIMK2,Limk2
LIMS1,Lims1
LIPA,Lipa
LIPC,Lipc
LIPE,Lipe
FADS1,Fads1
LLGL2,Llgl2
FADS3,Fads3
LLGL1,Llgl1
LMAN1,Lman1
LMNA,Lmna
LMNB1,Lmnb1
LMO1,Lmo1
LMO2,Lmo2
PRICKLE3,Prickle3
LMO7,Lmo7
LMX1A,Lmx1a
LMX1B,Lmx1b
LNPEP,Lnpep
LORICRIN,Loricrin
LOX,Lox
LOXL1,Loxl1
LOXL2,Loxl2
LPL,Lpl
LPO,Lpo
LPP,Lpp
IRAG2,Irag2
LRCH4,Lrch4
LRP1,Lrp1
LRP2,Lrp2
LRP3,Lrp3
LRP4,Lrp4
LRP6,Lrp6
LRP5,Lrp5
LRPAP1,Lrpap1
LSAMP,Lsamp
LSP1,Lsp1
LSS,Lss
LTA4H,Lta4h
LTA,Lta
LTB,Ltb
LTBP1,Ltbp1
LTBP2,Ltbp2
LTBP3,Ltbp3
LTBR,Ltbr
LTC4S,Ltc4s
LTF,Ltf
LTK,Ltk
BCAM,Bcam
LUM,Lum
LY6E,Ly6e
LY6H,Ly6h
LY9,Ly9
CD180,Cd180
LY75,Ly75
LYL1,Lyl1
LYN,Lyn
SH2D1A,Sh2d1a
TACSTD2,Tacstd2
TM4SF1,Tm4sf1
